slug,name,history_index,date,event,opponent,result,org,matched_event,reason
sakai-ryo,酒井リョウ,19,2016-12-17,DEEP CAGE IMPACT 2016 DEEP VS WSOF GC,渋谷将馬,loss,DEEP,DEEP CAGE IMPACT 2016～DEEP VS WSOF-GC～,opponent_name_mismatch(org_bout_opponent=シビサイ頌真)
sakai-ryo,酒井リョウ,26,2014-03-22,DEEP 65 IMPACT,水口清吾,loss,DEEP,DEEP 65 IMPACT,opponent_name_mismatch(org_bout_opponent=誠悟)
sakai-ryo,酒井リョウ,27,2013-12-22,DEEP 64 IMPACT,ガブリエル・ゾボ＝ルベイ,win,DEEP,DEEP 64 IMPACT,opponent_name_mismatch(org_bout_opponent=ガブリエル・ゾボ・ラビー)
sakai-ryo,酒井リョウ,28,2013-06-15,DEEP CAGE IMPACT 2013,関根“シュレック”秀樹,loss,DEEP,DEEP CAGE IMPACT 2013 in KORAKUEN HALL,no_candidate
rikiya,力也,13,2023-05-07,DEEP 113 IMPACT,CORO,loss,DEEP,DEEP 113 IMPACT,no_candidate
rikiya,力也,20,2021-06-19,DEEP TOKYO IMPACT 2021 2nd ROUND,井沢和人,win,DEEP,DEEP TOKYO IMPACT 2nd ROUND,no_candidate
rikiya,力也,24,2020-07-24,PANCRASE 316,山田星音,loss,PANCRASE,PANCRASE316,opponent_name_mismatch(org_bout_opponent=聖王DATE)
gomyo-hiroto,五明宏人,9,2024-03-09,DEEP 118 IMPACT,木下カラテ,loss,DEEP,DEEP 118 IMPACT,no_candidate
gomyo-hiroto,五明宏人,14,2022-08-21,DEEP 109 IMPACT,デオ・レバナ,win,DEEP,DEEP 109 IMPACT,opponent_name_mismatch(org_bout_opponent=ゲオ・レバナ)
ushiku-juntaro,牛久絢太郎,2,2025-05-05,DEEP 125 IMPACT 【DEEPバンタム級タイトルマッチ】,福田龍彌,loss,DEEP,DEEP 125 IMPACT,no_candidate
ushiku-juntaro,牛久絢太郎,9,2021-12-12,DEEP 105 IMPACT 【DEEPフェザー級タイトルマッチ】,神田コウヤ,win,DEEP,DEEP 105 IMPACT,no_candidate
ushiku-juntaro,牛久絢太郎,12,2021-02-21,DEEP 100 IMPACT～20th Anniversary～,中村大介,loss,DEEP,DEEP 100 IMPACT ～20th Anniversary～,no_candidate
ushiku-juntaro,牛久絢太郎,19,2018-08-05,PANCRASE 298,ユータ&ロック,loss,PANCRASE,PANCRASE298,opponent_name_mismatch(org_bout_opponent=ユータ＆ロック)
hiramatsu-sho,平松翔,2,2025-03-15,DEEP 124 IMPACT,瀧澤謙太,win,DEEP,DEEP 124 IMPACT,no_candidate
hiramatsu-sho,平松翔,9,2022-08-28,DEEP OSAKA IMPACT 2022 3rd round,松原慎介,win,DEEP,DEEP OSAKA IMPACT 2022 3rd ROUND,opponent_name_mismatch(org_bout_opponent=MG眞介)
hiramatsu-sho,平松翔,12,2020-11-01,DEEP 99 IMPACT,"日比野""エビ中""純也",loss,DEEP,DEEP 99 IMPACT,no_candidate
hiramatsu-sho,平松翔,13,2019-12-15,DEEP 93 IMPACT,小林弘幸,loss,DEEP,DEEP 93 IMPACT,opponent_name_mismatch(org_bout_opponent=小林博幸)
takizawa-kenta,瀧澤謙太,1,2025-03-15,DEEP 124 IMPACT,平松翔,loss,DEEP,DEEP 124 IMPACT,no_candidate
takizawa-kenta,瀧澤謙太,22,2016-01-31,PANCRASE 275,アラン“ヒロ”ヤマニハ,loss,PANCRASE,PANCRASE275,"opponent_name_mismatch(org_bout_opponent=アラン“ヒロ""ヤマニハ)"
nakamura-daisuke,中村大介,11,2022-02-26,DEEP 106 IMPACT,小見川道大,win,DEEP,DEEP 106 IMPACT,no_candidate
