event_id,brand,event_date,bout_index,side,result,name_raw,gym_raw,name_normalized,weight_class_raw,source_url,fetched_at,mnews_slug,status,match_confidence,name_confidence
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,8,A,win,仁井田右楽,JAPAN TOP TEAM,仁井田右楽,DEEP 60kg以下 5分2R,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,8,B,loss,左京,レンジャージム,左京,DEEP 60kg以下 5分2R,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,9,A,loss,横瀬友愛,BELVA,横瀬友愛,DEEP JEWELS ストロー級 5分2R,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,9,B,win,堀内美沙紀,FIGHT BASE都立大,堀内美沙紀,DEEP JEWELS ストロー級 5分2R,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,10,A,loss,秋元優志,JAPAN TOP TEAM,秋元優志,DEEPフライ級 3分2R アマチュアSルール,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,10,B,win,国分獅斗,THE BLACK BELT JAPAN,国分獅斗,DEEPフライ級 3分2R アマチュアSルール,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,11,A,win,高尾凌生,JAPAN TOP TEAM,高尾凌生,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,11,B,loss,菊池佳歩,IRIE BASE,菊池佳歩,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,12,A,win,佐藤聖優,JAPAN TOP TEAM,佐藤聖優,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
deep-tokyo-impact-2025-6th-round,DEEP TOKYO IMPACT,2025-12-14,12,B,loss,佐藤凛,KATANA GYM,佐藤凛,DEEPバンタム級 3分2R アマチュアSルール,https://www.deep2001.com/deep-tokyo-impact-2025-6th-round/,2026-07-25,,missing,none,clean
