slug	name	date	event	opponent	methodRaw	promotion	result	note
kunimoto-masayoshi	國本 真義	2021-03-21	Yogibo presents RIZIN.27	佐藤執斗	3R 判定 （ドロー：0-1）	RIZIN	draw	None
taiga	大雅	2021-03-21	Yogibo presents RIZIN.27	基山幹太	3R 判定	RISE	win	None
hiroki-2	弘樹	2021-03-21	Yogibo presents RIZIN.27	内藤凌太	3R 判定 （3-0）	RIZIN	loss	None
burakupansa-beinoa	“ブラックパンサー”ベイノア	2021-06-13	Yogibo presents RIZIN.28	弥益ドミネーター聡志	3R判定	RISE	loss	None
kouji	皇治	2021-06-27	Yogibo presents RIZIN.29	白鳥大珠	3R 判定 （0-3）	RIZIN	loss	None
kouji	皇治	2021-06-27	Yogibo presents RIZIN.29	梅野源治	1R 0分43秒 ノーコンテスト（偶発性のバッティングにより梅野が負傷）	RIZIN	no_contest	None
ryo-takahashi	髙橋 亮	2021-06-27	Yogibo presents RIZIN.29	白鳥大珠	1R KO	RISE	loss	None
taiju-shiratori	白鳥大珠	2021-06-27	Yogibo presents RIZIN.29	皇治	3R 判定	RISE	win	None
taiju-shiratori	白鳥大珠	2021-06-27	Yogibo presents RIZIN.29	髙橋 亮	1R KO	RISE	win	None
yuma-yamahata	山畑雄摩	2021-06-27	Yogibo presents RIZIN.29	髙橋聖人	3R判定	RISE	draw	None
kiyoto-takahashi	髙橋聖人	2021-06-27	Yogibo presents RIZIN.29	山畑雄摩	3R 判定 （ドロー：0-1）	RIZIN	draw	None
jyosei	Jyosei	2021-06-27	Yogibo presents RIZIN.29	植山征紀	2R KO	RISE	loss	None
umeno-genji	梅野源治	2021-06-27	Yogibo presents RIZIN.29	皇治	ノーコンテスト	RISE	no_contest	None
panchan-rina	ぱんちゃん璃奈	2021-09-19	Yogibo presents RIZIN.30	百花	3R 判定 （3-0）	RIZIN	win	None
ishikawa-naoki-2	石川 直樹	2021-10-24	Yogibo presents RIZIN.31	吉成名高	1R 2分30秒 TKO（3ノックダウン）	RIZIN	loss	None
oinuma-ryuto	老沼 隆斗	2021-10-24	Yogibo presents RIZIN.31	奥脇竜哉	3R 判定 （2-0）	RIZIN	loss	None
hirokatsu-miyagi	宮城寛克	2021-11-20	Yogibo presents RIZIN.32	ロペス薩摩	1R 2分39秒 KO（スタンドパンチ）	RIZIN	win	None
sone-kazuma	祖根 寿麻	2021-11-20	Yogibo presents RIZIN.32	皇治	3R 判定 （3-0）	RIZIN	loss	None
hiroki-2	弘樹	2021-11-20	Yogibo presents RIZIN.32	寺山遼冴	3R 判定 （3-0）	RIZIN	loss	None
kouji	皇治	2021-11-20	Yogibo presents RIZIN.32	祖根寿麻	3R 判定 （3-0）	RIZIN	win	None
burakupansa-beinoa	“ブラックパンサー”ベイノア	2021-11-20	Yogibo presents RIZIN.32	ロクク・ダリ	3RKO	RISE	win	None
kouji	皇治	2021-12-31	Yogibo presents RIZIN.33	YA-MAN	3R 判定 （0-2）	RIZIN	loss	None
burakupansa-beinoa	“ブラックパンサー”ベイノア	2021-12-31	Yogibo presents RIZIN.33	武田光司	2RKO	RISE	loss	None
yaman	YA-MAN	2021-12-31	Yogibo presents RIZIN.33	皇治	3R 判定	RISE	win	None
umeno-genji	梅野源治	2024-06-09	Yogibo presents RIZIN.47	魚井フルスイング	3R 判定（3-0）	RIZIN	win	None
yaman	YA-MAN	2024-07-28	Yogibo presents 超RIZIN.3	鈴木博昭	1R KO	RISE	win	None
shiba-kojiro	芝 宏二郎	2026-07-18	abc presents RIZIN LANDMARK 15 in HIROSHIMA	遥心	3R 判定（3-0）	RIZIN	win	None
haruto	遥心	2026-07-18	abc presents RIZIN LANDMARK 15 in HIROSHIMA	芝宏二郎	3R 判定（3-0）	RIZIN	loss	None
nitamizu-toshiyuki	二田水 敏幸	2010-04-11	club DEEP 公武堂ファイト	高田 直矢	2R 判定	SHOOT BOXING	draw	None
suzuki-hiroaki	鈴木 博昭	2006-11-19	club DEEP 富山 -野蛮人祭り5-	酒井 武志	1R KO	SHOOT BOXING	win	デビュー戦
miku-144	MIKU	2008-06-01	club DEEP 富山 -野蛮人祭り7-	レーナ	3分2R終了 判定0-1	Wikipedia(その他団体)	draw	None
yokota-kazunori	横田 一則	2007-06-16	club DEEP 東京	イ・デヨン	3R終了 判定3-0	Wikipedia(その他団体)	win	None
watanabe-hisae	渡辺久江	2007-10-21	club DEEP 浜松	ヤン・ジョンオゥン	2R 0:40 TKO（タオル投入）	Wikipedia(その他団体)	win	None
garyuu-shingo	我龍真吾	2005-04-10	club DEEP 福岡 天下一祭り	野村俊祐	1R 2:08 KO（2ノックダウン：ストレート）	Wikipedia(その他団体)	win	None
rena	RENA	2008-06-01	clubDEEP富山～野蛮人祭り7～	MIKU	2R 判定	SHOOT BOXING	draw	None
shinotsuka-tatsuki	篠塚 辰樹	2023-12-31	にゃんこ大戦争 presents RIZIN.45	冨澤大智	3R 判定（3-0）	RIZIN	win	None
ryujin-nasukawa	那須川龍心	2023-12-31	にゃんこ大戦争 presents RIZIN.45	シン・ジョンミン	2R TKO	RISE	win	None
tomizawa-daichi	冨澤 大智	2023-12-31	にゃんこ大戦争 presents RIZIN.45	篠塚辰樹	3R 判定（3-0）	RIZIN	loss	None
yaman	YA-MAN	2023-12-31	にゃんこ大戦争 presents RIZIN.45	平本蓮	3R 判定	RISE	loss	None
shin-jonmin	シン・ジョンミン	2023-12-31	にゃんこ大戦争 presents RIZIN.45	那須川龍心	2R TKO	RISE	loss	None
gono-akihiro	郷野 聡寛	2005-03-06	パンクラス PANCRASE 2005 SPIRAL TOUR	桜木裕司	2R 1:17 KO（右ストレート）	Wikipedia(その他団体)	loss	None
asahisa-taio	朝久 泰央	2026-04-12	大和開発 presents RIZIN LANDMARK 13 in FUKUOKA	シンパヤック・ハマジム	1R 1分45秒 TKO（レフェリーストップ）	RIZIN	win	None
yuuki	YU-KI	2026-04-12	大和開発 presents RIZIN LANDMARK 13 in FUKUOKA	今村流星	2R 0分58秒 TKO（レフェリーストップ）	RIZIN	loss	None
shinpayaku-hamajimu	シンパヤック・ハマジム	2026-04-12	大和開発 presents RIZIN LANDMARK 13 in FUKUOKA	朝久泰央	1R 1分45秒 TKO（レフェリーストップ）	RIZIN	loss	None
imamura-ryusei	今村 流星	2026-04-12	大和開発 presents RIZIN LANDMARK 13 in FUKUOKA	YU-KI	2R 0分58秒 TKO（レフェリーストップ）	RIZIN	win	None
