slug,org,date,event,opponentRaw,ownRaw,resultType,matchLabel,matchedAgainst
tou-hoiin,修斗,2019-09-22,BORDER-season11-「The3rd」,後藤 陽駆,透 暉鷹,decisive,nfkc_whitespace,透暉鷹
tou-hoiin,修斗,2020-01-19,BORDER-season12-「The1st」,藤野 康弘,透 暉鷹,decisive,nfkc_whitespace,透暉鷹
goto-joji,修斗,2020-12-20,TTF CHALLENGE 09,服部 賢大,後藤 丈治,decisive,exact,後藤 丈治
goto-joji,パンクラス,2016-05-29,PANCRASE札幌大会,冨田正美,後藤丈治,decisive,nfkc_whitespace,後藤 丈治
goto-joji,パンクラス,2015-12-06,PANCRASE札幌大会2015,松浦孝弥,後藤丈治,draw,nfkc_whitespace,後藤 丈治
goto-joji,DEEP,2024-11-23,DEEP TOKYO IMPACT 2024 5th ROUND,マンド・グディエレス,後藤丈治,decisive,nfkc_whitespace,後藤 丈治
ito-yuki,DEEP,2021-05-05,DEEP 101 IMPACT,安谷屋智弘,伊藤裕樹,decisive,nfkc_whitespace,伊藤 裕樹
noel,修斗,2023-05-21,Colors（カラーズ）,井上 愛羅,NOEL,draw,exact,NOEL
kubo-yuta,RIZIN,2021-12-31,Yogibo presents RIZIN.33,シバター,久保優太,decisive,nfkc_whitespace,久保 優太
ohara-juri,パンクラス,2009-10-17,PANCRASE 2009 CHANGING TOUR,草ホンマン,大原樹理,draw,exact,大原樹理
ohara-juri,DEEP,2022-10-27,DEEP 86 IMPACT,岡村幸範,大原樹里,draw,exact,大原樹里
sekihara-sho,DEEP,2021-05-05,DEEP 101 IMPACT,ヒロヤ,関原 翔,decisive,nfkc_whitespace,関原翔
nakajima-taichi,パンクラス,2011-11-12,PANCRASE 2011 IMPRESSIVE TOUR,川原レイ,中島太一,draw,exact,中島太一
nakajima-taichi,パンクラス,2011-09-04,PANCRASE 2011 IMPRESSIVE TOUR,高津庸,中島太一,decisive,exact,中島太一
asahina-ken,修斗,2018-11-25,THE SHOOTO OKINAWA vol.1,ふじい ☆ ペリー,旭那 拳,decisive,exact,旭那 拳
umeki-yutoku,DEEP,2021-03-13,DEEP TOKYO IMPACT 2021,森脇公三,梅木勇徳,decisive,nfkc_whitespace,梅木 勇徳
yamauchi-wataru,RIZIN,2025-11-03,RIZIN LANDMARK 12 in KOBE,トニー・ララミー,山内渉,decisive,nfkc_whitespace,山内 渉
nojiri-yasuyuki,パンクラス,2019-09-01,Road to ONE:CENTURY,前田浩平,野尻定由,decisive,nfkc_whitespace,野尻 定由
azumi-kento,RIZIN,2023-06-24,RIZIN.43,渡辺トシキ,安海健人,decisive,nfkc_whitespace,安海 健人
aono-hikaru,DEEP,2019-12-15,DEEP 93 IMPACT,パク・シウ,青野ひかる,decisive,nfkc_whitespace,青野 ひかる
aono-hikaru,DEEP,2024-05-26,DEEP JEWELS 45,鈴木”BOSS”遥,青野ひかる,decisive,nfkc_whitespace,青野 ひかる
young-parkseo,RIZIN,2025-03-30,RIZIN.50,万智,パク・ソヨン,decisive,quote_symbol,パク ソヨン
aya-murakami,修斗,2026-01-18,【第1部】COLORS Produce by SHOOTO Vol.6,前澤 智,村上 彩,decisive,exact,村上 彩
aya-murakami,DEEP,2021-03-07,DEEP JEWELS 32,さくら,村上彩,decisive,nfkc_whitespace,村上 彩
kurobe-mina,修斗,2024-08-03,COLORS Produce by SHOOTO Vol.3,杉内 由紀,黒部 三奈,decisive,exact,黒部 三奈
kurobe-mina,修斗,2025-04-20,THE SHOOTO OKINAWA vol.12,小生 由紀,黒部 三奈,decisive,exact,黒部 三奈
kurobe-mina,パンクラス,2012-07-01,PANCRASE 2012 PROGRESS TOUR,紫乃ヴァンフース,黒部三奈,decisive,nfkc_whitespace,黒部 三奈
kurobe-mina,DEEP,2015-11-23,DEEP JEWELS 10,スギロック,黒部三奈,decisive,nfkc_whitespace,黒部 三奈
hoshuyama-momoka,パンクラス,2022-09-11,PANCRASE 329,KAREN,宝珠山桃花,decisive,nfkc_whitespace,宝珠山 桃花
takada-atsuhi,DEEP,2023-04-16,DEEP NAGOYA 2023 公武堂ファイト1st ROUND,大野真由美,高田暖妃,decisive,nfkc_whitespace,高田 暖妃
nada,DEEP,2018-04-08,DEEP CAGE IMPACT 2018 in大阪,藤﨑航汰,名田英平,decisive,exact,名田英平
satoyujibonsai,DEEP,2024-05-12,DEEP CAGE IMPACT 2024 in HAMAMATSU,夏目涼祐,佐藤ゆうじ,decisive,exact,佐藤ゆうじ
hamamoto,RIZIN,2023-05-06,RIZIN.42,ラマザン・テミロフ,浜本“キャット”雄大,decisive,quote_symbol,浜本キャット雄大
