slug,nameJa,wikiTitle
sheydullaev-rajabali,ラジャブアリ・シェイドゥラエフ,ラジャブアリ・シェイドゥラエフ
karamov-vugar,ヴガール・ケラモフ,ヴガール・ケラモフ
nozimov-ilkhom,イルホム・ノジモフ,イルホム・ノジモフ
zhumagazy-nurkhan,ヌルハン・ズマガジー,ヌルハン・ズマガジー
temirov-azizbek,アジズベク・テミロフ,アジズベク・テミロフ
gadzhamatov-alibeg,アリベク・ガジャマトフ,アリベク・ガジャマトフ
mckee-aj,AJ・マッキー,AJ・マッキー
tenya,天弥,天弥
nishitani-taisei,西谷大成,西谷大成
shibisai-shoma,シビサイ頌真,シビサイ頌真
kitakata-daichi,北方大地,北方大地
kaito,海飛,海飛
mitsui-shunki,三井俊希,三井俊希
shirakawa-rikuto,白川ダーク陸斗,白川陸斗
kitaoka-satoru,北岡悟,北岡悟
park-siwoo,パク・シウ,パク・シウ
lee-yeji,イ・イェジ,イ・イェジ
miyake-kisa,三宅輝砂,三宅輝砂
aoi-jin,青井人,青井人
hamada-takumi,濱田巧,濱田巧
laramie-tony,トニー・ララミー,トニー・ララミー
kolesnik-viktor,ビクター・コレスニック,ビクター・コレスニック
kim-kyungpyo,キム・ギョンピョ,キム・ギョンピョ
kimura-shuya,木村柊也,木村柊也
lee-kaiwen,リー・カイウェン,リー・カイウェン
kuzyutina-natasha,ナターシャ・クジュティナ,ナタリア・クジュティナ
cafaro-ryan,ライアン・カファロ,ライアン・カファロ
haga-bilalkai,芳賀ビラル海,芳賀ビラル海
aimoto-kazuki,相本宗輝,相本宗輝
yuya-wakamatsu,若松佑弥,若松佑弥
shinya-aoki,青木真也,青木真也
hiroyuki-tetsuka,手塚裕之,手塚裕之 (総合格闘家)
tatsumitsu-wada,和田竜光,和田竜光
ayaka-miura,三浦彩佳,三浦彩佳
chihiro-sawada,澤田千優,澤田千優
itsuki-hirata,平田樹,平田樹
seiichiro-ito,伊藤盛一郎,伊藤盛一郎
keito-yamakita,山北渓人,山北渓人
koya-kanda,神田コウヤ,神田コウヤ
hinotori,火の鳥,火の鳥 (格闘家)
enju-kenta,猿寿健太,KENTA (格闘家)
kim-soochul,キム・スーチョル,キム・スーチョル
yang-jiyong,ヤン・ジヨン,ヤン・ジヨン
lee-junghyun,イ・ジョンヒョン,イ・ジョンヒョン (格闘家)
yrysbek-tilenov,イリスベク・ティレノフ,イリスベク・ティレノフ
nii-suguru,新居すぐる,新居すぐる
inoue-seiya,井上聖矢,井上聖矢
matsushima-koyomi,松嶋こよみ,松嶋こよみ
ameyama-seiya,飴山聖也,飴山聖也
yasui-hyuma,安井飛馬,安井飛馬
uno-caol,宇野薫,宇野薫
ishizuka-koichi,石司晃一,石司晃一
sasaki-hiro,佐々木大,佐々木大
sugiyama-kohei,杉山廣平,杉山廣平
isao,ISAO,ISAO (格闘家)
coro,CORO,CORO
takeuchi-ryugo,竹内龍吾,竹内龍吾
uchida-takeru,内田タケル,内田タケル
suzuki-takaya,鈴木崇矢,鈴木崇矢
miyaguchi-ryuho,宮口龍鳳,宮口龍鳳
mizoguchi-tsukasa,溝口司,溝口司
minowa-hiroba,箕輪ひろば,箕輪ひろば
honda-ryosuke,本田良介,本田良介
unconfirmed-shooto-1875,砂辺 光久,砂辺光久
nakajima-riku,中島 陸,中島陸
iwasaki-taiga,岩﨑 大河,岩﨑大河
aono-hikaru,青野 ひかる,青野ひかる
watanabe-ayaka,渡辺 彩華,渡辺彩華
aya-murakami,村上 彩,村上彩
kurobe-mina,黒部 三奈,黒部三奈
sarami,SARAMI,SARAMI
fujino-emi,藤野 恵実,藤野恵実
yamakimahiro,山木麻弥,山木麻弥
sugiyama,杉山しずか,杉山しずか
