slug,name,history_index,date,event,opponent,result,org,events_on_that_date
ito-yuki,伊藤 裕樹,23,2019-05-26,DEEP NAGOYA IMPACT 公武堂ファイト,ヨシKING,win,DEEP,(none)
soya-takaki,征矢 貴,14,2015-01-25,修斗 2015年開幕戦,梶川卓,win,SHOOTO,(none)
soya-takaki,征矢 貴,15,2014-09-27,修斗 2014年第7戦,菅原雅顕,loss,SHOOTO,(none)
soya-takaki,征矢 貴,16,2014-05-05,修斗 25周年記念大会,ズ・ギョンズン,win,SHOOTO,(none)
soya-takaki,征矢 貴,17,2013-12-15,修斗 THE ROOKIE TOURNAMENT FINAL 2013 【2013年度新人王決定トーナメント決勝戦】,福田龍彌,win,SHOOTO,(none)
soya-takaki,征矢 貴,18,2013-09-01,修斗 BORDER -season5- The 2nd 【2013年度新人王決定トーナメント準決勝】,亀島聖児,win,SHOOTO,(none)
soya-takaki,征矢 貴,19,2013-06-08,修斗 SHOOTING DISCO 21 catch the moment ～今でしょ！～ 【2013年度新人王決定トーナメント2回戦】,鳥越顕,win,SHOOTO,(none)
soya-takaki,征矢 貴,21,2012-07-21,DEEP TOKYO IMPACT 2012 in DIFFER ARIAKE,伊藤貴昭,win,DEEP,(none)
nomura-shunta,野村 駿太,7,2022-12-22,DEEP TOKYO IMPACT 2022 7th Round,小金翔,win,DEEP,(none)
yamamoto-arsen,山本 アーセン,14,2015-12-31,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,クロン・グレイシー,loss,RIZIN,(none)
ando-tatsuya,安藤 達也,17,2015-11-29,SHOOTO the Comic vol. 1,服部謙一,win,SHOOTO,(none)
kintaro,金太郎,16,2017-12-24,PANCRASE vs DEEP 大阪大会,土肥潤,win,DEEP,(none)
kintaro,金太郎,20,2015-04-29,DEEP OSAKA IMPACT 2015,渡辺智史,win,DEEP,(none)
kintaro,金太郎,22,2014-10-19,DEEP CAGE IMPACT in OSAKA 2014,小松寛司,win,DEEP,(none)
kintaro,金太郎,24,2014-02-23,DEEP OSAKA IMPACT 2014,篠川晴成,draw,DEEP,(none)
kintaro,金太郎,29,2012-09-29,DEEP OSAKA IMPACT 2012,神龍,win,DEEP,(none)
suda-moeri,須田 萌里,20,2021-04-04,DEEP OSAKA IMPACT 2021,坂本美香,win,DEEP,(none)
takeda-koji,武田 光司,19,2018-10-27,DEEP 86 IMPACT 【DEEPライト級タイトルマッチ】,北岡悟,win,DEEP,(none)
tokoro-hideo,所 英男,9,2015-12-29,RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS,才賀紀左衛門,win,RIZIN,(none)
tokoro-hideo,所 英男,46,2005-04-07,Shooto Lithuania: Chaosas,エリカス・ペトライティス,win,SHOOTO,(none)
tokoro-hideo,所 英男,48,2004-11-20,Shooto Lithuania: Bushido」,ダリウス・スクリアウディス,loss,SHOOTO,(none)
tokoro-hideo,所 英男,53,2004-04-04,Shooto Lithuania: Vendetta,エリカス・ペトライティス,win,SHOOTO,(none)
miyagawa-hyuga,宮川 日向,11,2023-09-30,DEEP伝説のネタ物祭り,ジョビン,loss,DEEP,(none)
ohara-juri,大原樹理,11,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,ユン・ダウォン,win,DEEP,(none)
ohara-juri,大原樹理,27,2018-10-27,DEEP 86 IMPACT,岡村幸範,draw,DEEP,(none)
ohara-juri,大原樹理,48,2013-07-20,DEEP TOKYO IMPACT 2013 【ライト級GPリザーブマッチ】,濱村健,win,DEEP,(none)
ohara-juri,大原樹理,49,2013-05-18,DEEP TOKYO IMPACT 2013 【ライト級GP二回戦】,福本よう一,win,DEEP,(none)
ohara-juri,大原樹理,50,2013-03-10,DEEP TOKYO IMPACT 2013 【ライト級GP一回戦】,田口公一,win,DEEP,(none)
ohara-juri,大原樹理,52,2012-07-21,DEEP TOKYO IMPACT 2012,大迫元喜,win,DEEP,(none)
ohara-juri,大原樹理,54,2012-04-07,DEEP CAGE IMPACT 2012,川崎泰裕,win,DEEP,(none)
ohara-juri,大原樹理,56,2011-10-29,DEEP CAGE IMPACT 2011,LUIZ,win,DEEP,(none)
ohara-juri,大原樹理,57,2011-08-21,CLUB DEEP DIANA 2,近藤秀人,win,DEEP,(none)
ohara-juri,大原樹理,58,2011-06-05,DEEP TOKYO IMPACT 2011,永瀬功,win,DEEP,(none)
ohara-juri,大原樹理,59,2011-04-24,CLUB DEEP DIANA,森素道,win,DEEP,(none)
ohara-juri,大原樹理,60,2011-02-27,DEEP TOKYO IMPACT 2011,小林裕,loss,DEEP,(none)
ohara-juri,大原樹理,62,2010-05-23,CLUB DEEP 東京,小池秀信,win,DEEP,(none)
ohara-juri,大原樹理,63,2010-03-28,CLUB DEEP 東京,安藤純,win,DEEP,(none)
kuramoto-daigo,倉本大悟,7,2023-12-09,DEEP TOKYO IMPACT 2023 7th ROUND,井上竜旗,win,DEEP,(none)
kuramoto-daigo,倉本大悟,10,2022-12-10,DEEP TOKYO IMPACT 2022 7th ROUND,森俊樹,loss,DEEP,(none)
shimada-ibuki,嶋田伊吹,11,2021-04-04,DEEP OSAKA IMPACT 2021,木下憂朔,loss,DEEP,(none)
shimada-ibuki,嶋田伊吹,12,2020-11-29,DEEP & PANCRASE大阪,鈴木道場長,win,DEEP,(none)
shimada-ibuki,嶋田伊吹,13,2019-11-17,DEEP & PANCRASE大阪,中尾受太郎,win,DEEP,(none)
shimada-ibuki,嶋田伊吹,16,2018-10-27,DEEP OSAKA IMPACT 2024 1ST ROUND,田中一矢,win,DEEP,(none)
sakai-ryo,酒井リョウ,11,2021-06-18,DEEP TOKYO IMPACT 2021 1ST ROUND,SAINT,loss,DEEP,(none)
sakai-ryo,酒井リョウ,15,2018-10-27,DEEP 86 IMPACT,水口清吾,win,DEEP,(none)
sakai-ryo,酒井リョウ,20,2016-09-24,MGL 1 FIGHTING CHAMPIONSHIP MGL 1 VS DEEP,ガンバヤル・トゥムルフヤグ,loss,DEEP,(none)
muramoto-yutaro,村元友太郎,16,2017-12-24,PANCRASE vs DEEP 大阪大会,大崎勝海,win,DEEP,(none)
abe-daiji,阿部大治,12,2021-02-19,DEEP 100 IMPACT～20th Anniversary～ 【DEEPウェルター級暫定王者決定戦】,レッツ豪太,win,DEEP,(none)
nakamura-daisuke,中村大介,6,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,キム・ミンウ,loss,DEEP,(none)
nakamura-daisuke,中村大介,27,2011-10-29,DEEP CAGE IMPACT 2011 in TOKYO,アームバー・キム,win,DEEP,(none)
nakamura-daisuke,中村大介,40,2008-07-17,DEEP M-1 チャレンジ 5 in JAPAN 【チーム・オランダ vs. チーム・ジャパン -70kg級戦】,ボグダン・クリステア,win,DEEP,(none)
nakamura-daisuke,中村大介,47,2006-02-05,DEEP 23 IMPACT 5周年大会,藤沼弘秀,win,DEEP,(none)
nakamura-daisuke,中村大介,48,2005-12-02,DEEP 22 IMPACT,長谷川秀彦,loss,DEEP,(none)
nakamura-daisuke,中村大介,50,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント決勝】,中尾受太郎,loss,DEEP,(none)
nakamura-daisuke,中村大介,51,2004-10-30,DEEP 16th IMPACT 【ウェルター級トーナメント準決勝】,星野勇二,win,DEEP,(none)
nakamura-daisuke,中村大介,52,2004-07-03,DEEP 15th IMPACT 【ウェルター級トーナメント1回戦】,小野瀬哲也,win,DEEP,(none)
nakamura-daisuke,中村大介,60,2002-12-08,DEEP2001 7th IMPACT in DIFFER ARIAKE 【フューチャーキングトーナメント 82kg以下級 2回戦】,森山大,loss,DEEP,(none)
nakamura-daisuke,中村大介,61,2002-12-08,DEEP2001 7th IMPACT in DIFFER ARIAKE 【フューチャーキングトーナメント 82kg以下級 1回戦】,木村仁要,win,DEEP,(none)
kindaichi-kosuke,金田一孝介,8,2011-09-23,修斗,伊藤一宏,win,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,9,2011-07-18,修斗 SHOOTOR’S LEGACY 03,佐々木憂流迦,loss,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,10,2011-04-10,修斗,門脇英基,draw,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,11,2010-07-04,修斗,近野淳平,win,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,12,2010-06-27,修斗 SPIRIT 2010 Summer 【2010年度新人王決定トーナメント ライト級 2回戦】,齊藤曜,loss,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,13,2010-02-27,修斗,丸井健一郎,win,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,14,2009-11-29,修斗,大道将輝,win,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,15,2009-08-09,修斗,早坂利昭,win,SHOOTO,(none)
kindaichi-kosuke,金田一孝介,16,2009-06-06,修斗,西野英樹,draw,SHOOTO,(none)
kubota-taito,窪田泰斗,12,2018-10-27,DEEP 86 IMPACT,オーロラ☆ユーキ,loss,DEEP,(none)
kubota-taito,窪田泰斗,16,2017-03-20,DEEP OSAKA IMPACT 2017,白川陸斗,win,DEEP,(none)
kubota-taito,窪田泰斗,18,2016-10-02,DEEP NAGOYA IMPACT,石田勝也,win,DEEP,(none)
kozaki-ren,小崎連,7,2023-08-06,DEEP NAGOYA IMPACT 2023 KOBUDO FIGHT 3RD ROUND,切嶋龍輝,win,DEEP,DEEP NAGOYA IMPACT 2023 公武堂ファイト 3rd ROUND/4th ROUND
uoi-fullswing,魚井フルスイング,13,2019-09-22,プロフェッショナル修斗公式戦,田丸匠,loss,SHOOTO,SHOOTO 30th ANNIVERSARY TOUR 第7戦 Supported by ONE Championship; BORDER-season11-「The3rd」
uoi-fullswing,魚井フルスイング,15,2019-05-06,プロフェッショナル修斗公式戦,加藤ケンジ,win,SHOOTO,SHOOTO 30th ANNIVERSARY TOUR 30周年記念大会 第1部 Supported by ONE Championship; SHOOTO 30th ANNIVERSARY TOUR 30周年記念大会 第2部 Supported by ONE Championship
uoi-fullswing,魚井フルスイング,23,2016-12-10,SHOOTO KINGS 5 - Critical Mass,Frank Stablein,win,SHOOTO,(none)
uoi-fullswing,魚井フルスイング,34,2012-11-11,プロフェッショナル修斗公式戦 【2012年度新人王トーナメント準決勝】,福島秀和,loss,SHOOTO,(none)
uoi-fullswing,魚井フルスイング,35,2012-09-23,プロフェッショナル修斗公式戦 【2012年度新人王トーナメント2回戦】,Dr.takuya,win,SHOOTO,(none)
uoi-fullswing,魚井フルスイング,36,2012-04-01,プロフェッショナル修斗公式戦 【2012年度新人王トーナメント1回戦】,金海裕輝,win,SHOOTO,(none)
uoi-fullswing,魚井フルスイング,44,2009-06-07,club DEEP,上嶋佑紀,loss,DEEP,(none)
akazawa-yukinori,赤沢幸典,5,2023-02-04,Black Combat 5: Song of the Sword 【DEEP×BLACK COMBAT対抗戦】,チェ・ウォンジュン,loss,DEEP,(none)
saito-momoko,百湖,5,2023-11-22,DEEP JEWELS 43,栗山葵,loss,DEEP,(none)
yamagami-mikihito,山上幹臣,8,2012-09-30,プロフェッショナル修斗公式戦～東日本大震災復興支援チャリティ～【修斗世界フライ級チャンピオンシップ】,猿丸ジュンジ,win,SHOOTO,(none)
yamagami-mikihito,山上幹臣,9,2011-11-05,SHOOTO THE SHOOTO 2011 【修斗世界フライ級チャンピオンシップ】,生駒純司,win,SHOOTO,(none)
yamagami-mikihito,山上幹臣,10,2011-04-29,SHOOTO TRADITION 2011,ATCHアナーキー,win,SHOOTO,(none)
yamagami-mikihito,山上幹臣,11,2010-11-19,プロフェッショナル修斗公式戦,室伏シンヤ,win,SHOOTO,(none)
yamagami-mikihito,山上幹臣,12,2010-07-04,修斗,春崎武裕,win,SHOOTO,(none)
yamagami-mikihito,山上幹臣,13,2009-08-09,修斗,ザ・タイガー石井,loss,SHOOTO,(none)
yamagami-mikihito,山上幹臣,14,2009-03-20,修斗,ATCHアナーキー,loss,SHOOTO,(none)
yamagami-mikihito,山上幹臣,15,2008-12-13,修斗【新人王決定戦トーナメント決勝】,猿丸ジュンジ,win,SHOOTO,(none)
yamagami-mikihito,山上幹臣,16,2008-10-05,修斗【新人王決定戦トーナメント準決勝】,天風ゆうすけ,win,SHOOTO,(none)
