slug,nameJa,jaTitle,articleFound,qualifyingSections,sectionRowCount,otherSectionsRowCount,parserKeptNow,dbHistoryLen,parserDropCount,pipelineDiff,dropReasons,note
kanru,敢流,敢流,true,1,10,0,9,9,1,0,marker-blank-future:1,
hirata-naoki,平田直樹,平田直樹,true,1,14,0,14,14,0,0,,
yamaguchi-satoshi,山口怜臣,山口怜臣,true,1,7,0,7,7,0,0,,
little,リトル,リトル,true,0,0,0,0,1,0,-1,,「総合格闘技」節が見つからず(en版由来の可能性)
kenmin,賢民,賢民,true,1,3,0,3,3,0,0,,
patchy-mix,パッチー・ミックス,パッチー・ミックス,true,2,25,0,24,24,1,0,marker-blank-future:1,
sabatello-danny,ダニー・サバテロ,ダニー・サバテロ,true,2,24,0,24,24,0,0,,
patricky-pitbull,パトリッキー・ピットブル,パトリッキー・ピットブル,true,0,0,0,42,42,-42,0,,「総合格闘技」節が見つからず(en版由来の可能性)
dodson-john,ジョン・ドッドソン,ジョン・ドッドソン,true,2,39,3,39,39,0,0,,複数節にFight-cont行が分散(採用節=1件目、他節に3行埋没)
zulu-nkazimulo,エンカジムーロ・ズールー,エンカジムーロ・ズールー,true,2,26,1,26,26,0,0,,複数節にFight-cont行が分散(採用節=1件目、他節に1行埋没)
gallagher-james,ジェームズ・ギャラガー,ジェームズ・ギャラガー,true,1,17,0,17,17,0,0,,
nakajima-taichi,中島太一,中島太一,true,1,33,0,33,33,0,0,,
case-johnny,ジョニー・ケース,ジョニー・ケース,true,1,41,0,41,41,0,0,,
torres-jose,ホセ・トーレス,ホセ・トーレス (格闘家),true,1,20,0,20,20,0,0,,
gustavo-luis,ルイス・グスタボ,ルイス・グスタボ,true,0,0,0,20,20,-20,0,,「総合格闘技」節が見つからず(en版由来の可能性)
soldatkin-alexander,アレクサンダー・ソルダトキン,アレクサンダー・ソルダトキン,true,1,22,0,22,22,0,0,,
karshyga-dautbek,カルシャガ・ダウトベック,カルシャガ・ダウトベック,true,1,0,0,23,23,-23,0,,節はあるがFight-cont行が0件
sheydullaev-rajabali,ラジャブアリ・シェイドゥラエフ,ラジャブアリ・シェイドゥラエフ,true,2,20,0,19,19,1,0,marker-blank-future:1,
karamov-vugar,ヴガール・ケラモフ,ヴガール・ケラモフ,true,1,29,0,28,28,1,0,marker-blank-future:1,
