slug	name	date	event	opponent	methodRaw	promotion
naito-taiki	内藤 大樹	2025-06-07	ONE Fight Night 32: Nakrob vs. Jaosuayai	ジョハン・エストゥピニャン	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2024-08-03	ONE Fight Night 25: Brooks vs. Balart	エリアス・マムーディ	KO 3R	SHOOT BOXING
naito-taiki	内藤 大樹	2024-08-02	ONE Fight Night 24: Brooks vs. Balart	エリアス・マムーディ	ノックアウト	ONE Championship
naito-taiki	内藤 大樹	2024-04-06	ONE Fights Night 21	デッドゥアンレック・ティーデ99	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2024-04-05	ONE Fight Night 21: Eersel vs. Nicolas	デッドゥアンレック	ユナニマス判定	ONE Championship
naito-taiki	内藤 大樹	2024-03-15	ONE Friday Fights 55	シャーゾット・カブトフ	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2023-10-20	ONE Friday Fights 37	ゴントラニー・ソーソンマイ	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2023-07-21	ONE Friday Fights 26	デッドゥアンレック・ティーデ99	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2022-10-22	ONE Fight Night 3：De Ridder vs. Abdulaev	アミール・ナセリ	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2022-05-20	ONE 157: Petchmorakot vs. Vienot	スーパーレック・キアトモー9	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2021-09-24	ONE: REVOLUTION	ペッダム・ペッティンディーアカデミー	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2021-06-11	ONE: FULL BLAST II	ワン・ウェンフェン	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2020-12-04	ONE: BIG BANG II	ジョナサン・ハガティー	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2020-02-07	ONE: WARRIOR’S CODE	サバス・マイケル	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2019-12-06	ONE: MARK OF GREATNESS	ルイ・ボテーリョ	3R 判定	SHOOT BOXING
naito-taiki	内藤 大樹	2019-10-25	ONE：DAWN OF VALOR	アレクシ・セレピソフ	3R TKO	SHOOT BOXING
naito-taiki	内藤 大樹	2019-09-01	Road to ONE:CENTURY	渡辺 優太	1R KO	SHOOT BOXING
ryusei-2	龍聖	2025-03-23	ONE 172: Takeru vs. Rodtang	スリヤンレック・ポー・イェンイン	3R終了 判定3-0	ONE Championship
shuri-sakayori	酒寄珠璃	2025-05-02	ONE Friday Fights 106	イーヤン・シェン	3R 判定	RISE
misaki	MISAKI	2026-03-13	ONE FridayFights 146	プリヤワン	3R 判定	SHOOT BOXING
misaki	MISAKI	2025-06-06	ONE FridayFights 111	ラン・ロンシュー	3R 判定	SHOOT BOXING
misaki	MISAKI	2025-06-06	ONE Friday Fights 111	RanLongshu	ユナニマス判定	ONE Championship
