name,status,decision,reason_code,primary_brand,total_appearances,amateur_appearances,pro_appearances,most_recent_date
足立光弘,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
村井成美,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,1,1,0,2026-02-23
村元友太郎,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
村松美直,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,3,3,0,2026-05-24
村田和生,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,1,1,2026-02-23
多湖力翔,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-11-23
太一,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
太田将吾,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-07-05
大井すず,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,3,0,3,2026-05-24
大越充悟,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,3,3,0,2026-07-24
大家皆,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,1,1,2025-12-07
大岩翔哉,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,3,0,3,2026-02-23
大空斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-06-21
大原宇竜,missing,非採用,C_ALL_AMATEUR,DEEP OSAKA IMPACT,1,1,0,2025-09-21
大原樹理,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
大将,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2025-11-02
大森仁,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,
大成,hidden,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-08-17
大西未来,missing,非採用,C_ALL_AMATEUR,DEEP OSAKA IMPACT,2,2,0,2026-03-08
大川怜輝,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
大島伊玖都,missing,非採用,C_ALL_AMATEUR,DEEP OSAKA IMPACT,1,1,0,2026-06-21
大島沙緒里,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-09-15
大木良太,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-11-02
大野“虎眼”賢良,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-09-21
大野勇斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
大和田龍斗,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-09-07
大澤空,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-06-14
大澤将司,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2025-12-07
大澤伸明,missing,採用,C_HAS_PRO_APPEARANCE,other,1,0,1,2026-04-19
瀧口脩生,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
瀧澤謙太,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
谷岡祐樹,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-06-21
谷口仁歩,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,2,2,0,2026-03-20
谷山心優,missing,非採用,C_ALL_AMATEUR,DEEP JEWELS,4,4,0,2026-05-24
谷山瞳,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-09-07
知名昴海,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,3,0,3,2026-05-04
池森ヨシキ,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-11-23
竹林エル,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,3,0,3,2026-05-24
中井りん,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-05-24
中西哲夫,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,
中川内羽矢斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,4,1,3,2026-06-14
中川北斗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
中村大介,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2026-05-04
中村大和,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
中村雄一,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-04-19
中谷優我,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-03-20
中島太一,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-05-24
中尾あづき,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
中尾響,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,3,0,3,2026-07-24
中務修良,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-02-23
中務太陽,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-12-14
中野ハヤト,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
中澤諒香,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
朝井啓太,missing,非採用,C_ALL_AMATEUR,DEEP OSAKA IMPACT,2,2,0,2026-03-08
朝比奈龍希,missing,採用,C_HAS_PRO_APPEARANCE,DEEP FIGHT CHALLENGE,3,0,3,2026-07-24
長谷川賢,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-05-24
直樹,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-03-20
津島忠彦,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
椿馨,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,0,2,2026-06-14
椿飛鳥,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-03-20
田口貴規,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2025-12-07
田川真帆,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,2,1,1,2026-05-24
田中壱季,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
田中慎一郎,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-02-23
田中悠翔,missing,非採用,C_ALL_AMATEUR,DEEP TOKYO IMPACT,1,1,0,2025-11-23
渡部恵多,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,1,1,0,2026-07-24
渡辺真央,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,1,2,2026-06-21
渡邊花美,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,3,2,1,2026-05-31
渡邉龍太郎,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-05-24
土屋太郎,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-06-14
唐沢タツヤ,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-04-19
島村優花,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
湯浅帝蓮,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2025-11-23
藤井連,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-04-19
藤岡陸,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,0,2,2026-02-23
藤田宇宙,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-03-08
堂園悠,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-04-19
内山拓真,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,2,0,2,2026-05-31
内田菱牙,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,2,2,0,2026-06-14
内野誠哉,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-02-23
南谷純也,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2025-10-05
日比野”エビ中”純也,listed,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,2,0,2,2026-05-24
八尋大輝,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,
比企那菜実,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2026-05-31
百湖,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2026-02-23
浜崎朱加,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-11-23
富松恵美,missing,採用,C_HAS_PRO_APPEARANCE,DEEP JEWELS,1,0,1,2025-09-07
武井大将,missing,非採用,C_ALL_AMATEUR,DEEP IMPACT,1,1,0,2026-05-04
武山詩音,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,2026-02-23
武蔵,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,3,0,3,2026-03-08
武蔵坊慶輔,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,1,0,1,2026-03-08
武田祈和,missing,非採用,C_ALL_AMATEUR,DEEP HAMAMATSU IMPACT,1,1,0,2025-10-05
武田光司,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-12-14
武利侑都,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-07-05
福井達郎,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,
福山佳祐,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,1,0,1,2026-02-23
福田泰暉,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
福嶋司,missing,非採用,C_ALL_AMATEUR,DEEP FIGHT CHALLENGE,1,1,0,2026-01-23
平井総一郎,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
平井聡一朗,missing,採用,C_HAS_PRO_APPEARANCE,DEEP TOKYO IMPACT,1,0,1,2026-02-23
平山稔和,missing,非採用,C_ALL_AMATEUR,DEEP NAGOYA IMPACT,1,1,0,
平松翔,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2026-05-04
平石光一,missing,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,2,0,2,2025-12-14
平田大地,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2026-05-31
平澤克明,missing,採用,C_HAS_PRO_APPEARANCE,DEEP NAGOYA IMPACT,2,0,2,2026-02-23
米原剛希,missing,採用,C_HAS_PRO_APPEARANCE,DEEP OSAKA IMPACT,2,0,2,2026-03-08
望月琉偉,missing,採用,C_HAS_PRO_APPEARANCE,DEEP HAMAMATSU IMPACT,1,0,1,2025-10-05
北岡悟,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-11-02
北方大地,listed,採用,C_HAS_PRO_APPEARANCE,DEEP IMPACT,1,0,1,2025-08-17
