org,weight_class_raw,weight_class_mnews,weight_class_reason,rank,name_official,name_normalized,source_url,fetched_at,mnews_slug,status,match_confidence
pancrase,フライ級,フライ級,,5,大塚智貴,大塚智貴,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,otsuka-tomoki,listed,exact
pancrase,フライ級,フライ級,,6,ラファエル・リベイロ,ラファエル・リベイロ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,7,増田大河,増田大河,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,8,浜本キャット雄大,浜本キャット雄大,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,9,植松洋貴,植松洋貴,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,10,濱田 巧,濱田巧,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,hamada-takumi,listed,exact
pancrase,フライ級,フライ級,,11,小林了平,小林了平,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,12,菅歩夢,菅歩夢,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,13,山崎蒼空,山崎蒼空,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,フライ級,フライ級,,14,本川ハルアキ,本川ハルアキ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,ストロー級,ストロー級,,王者,宮澤雄大,宮澤雄大,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,miyazawa-yuta,hidden,exact
pancrase,ストロー級,ストロー級,,1,佐々木瞬真,佐々木瞬真,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,sasaki-shunma,hidden,exact
pancrase,ストロー級,ストロー級,,2,船田電池,船田電池,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,funada-denchi,hidden,exact
pancrase,ストロー級,ストロー級,,3,リトル,リトル,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,little,hidden,exact
pancrase,ストロー級,ストロー級,,4,氏原魁星,氏原魁星,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,ujihara-kaisei,hidden,exact
pancrase,ストロー級,ストロー級,,5,寺岡拓永,寺岡拓永,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,女子フライ級,女子フライ級,,王者,杉山しずか,杉山しずか,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,女子フライ級,女子フライ級,,1,和田綾音,和田綾音,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,女子フライ級,女子フライ級,,2,ライカ,ライカ,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,女子ストロー級,女子ストロー級,,王者,本野美樹,本野美樹,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,女子ストロー級,女子ストロー級,,1,KAREN,KAREN,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
pancrase,女子アトム級,女子アトム級,,王者,SARAMI,SARAMI,https://www.pancrase.co.jp/rls/ranking.html,2026-07-25,,missing,none
shooto,ストロー級,ストロー級,,王者,田上 こゆる,田上こゆる,https://www.shooto-mma.com/ranking/,2026-07-25,tanoue-koyuru,hidden,exact
shooto,ストロー級,ストロー級,,1,内藤 頌貴,内藤頌貴,https://www.shooto-mma.com/ranking/,2026-07-25,naito-shoki,hidden,exact
shooto,ストロー級,ストロー級,,2,当真 佳直,当真佳直,https://www.shooto-mma.com/ranking/,2026-07-25,toma-yoshinao,hidden,exact
shooto,ストロー級,ストロー級,,3,畠山 隆称,畠山隆称,https://www.shooto-mma.com/ranking/,2026-07-25,hatakeyama-ryuya,hidden,exact
shooto,ストロー級,ストロー級,,4,黒部 和沙,黒部和沙,https://www.shooto-mma.com/ranking/,2026-07-25,kurobe-kazusa,hidden,exact
shooto,ストロー級,ストロー級,,5,山上 幹臣,山上幹臣,https://www.shooto-mma.com/ranking/,2026-07-25,yamagami-mikihito,hidden,exact
shooto,ストロー級,ストロー級,,6,旭那 拳,旭那拳,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ストロー級,ストロー級,,7,田口 恵大,田口恵大,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ストロー級,ストロー級,,8,友利 琉偉,友利琉偉,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ストロー級,ストロー級,,9,友利 幸汰,友利幸汰,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,ストロー級,ストロー級,,10,梅木 勇徳,梅木勇徳,https://www.shooto-mma.com/ranking/,2026-07-25,,missing,none
shooto,フライ級,フライ級,,王者,亮我,亮我,https://www.shooto-mma.com/ranking/,2026-07-25,ryoga,listed,exact
shooto,フライ級,フライ級,,1,高岡 宏気,高岡宏気,https://www.shooto-mma.com/ranking/,2026-07-25,takaoka-hiroki,listed,exact
shooto,フライ級,フライ級,,2,新井 丈,新井丈,https://www.shooto-mma.com/ranking/,2026-07-25,arai-jo,listed,exact
