count	opponentName	classification
4	島田 洸也	正当な未リンク(名簿に候補なし)
4	高嶋 龍弘	正当な未リンク(名簿に候補なし)
4	マモル	正当な未リンク(名簿に候補なし)
4	山田直樹	正当な未リンク(名簿に候補なし)
4	イ・スンヒョン	正当な未リンク(名簿に候補なし)
4	岩橋伸太郎	正当な未リンク(名簿に候補なし)
4	HIROKI	判定不能(類似候補ありだが未確証)
4	平澤 優聖	正当な未リンク(名簿に候補なし)
4	マウンテンRYUGO	正当な未リンク(名簿に候補なし)
4	セルゲイ・アルヒポフ	正当な未リンク(名簿に候補なし)
4	アンドレイ・ズラウコフ	正当な未リンク(名簿に候補なし)
4	笹田勝俊	正当な未リンク(名簿に候補なし)
4	TURBO	正当な未リンク(名簿に候補なし)
4	サッタリ・ウィラサクレック	正当な未リンク(名簿に候補なし)
4	田渕神太	正当な未リンク(名簿に候補なし)
4	RIANA	判定不能(類似候補ありだが未確証)
4	竜宜	正当な未リンク(名簿に候補なし)
4	階勇弥	正当な未リンク(名簿に候補なし)
4	亜維二	正当な未リンク(名簿に候補なし)
4	松島勲也	正当な未リンク(名簿に候補なし)
4	青木克眞	正当な未リンク(名簿に候補なし)
4	伊藤千飛	正当な未リンク(名簿に候補なし)
4	MO刃KI	正当な未リンク(名簿に候補なし)
4	棚橋 賢二郎	正当な未リンク(名簿に候補なし)
4	石川剛司	正当な未リンク(名簿に候補なし)
4	勇	正当な未リンク(名簿に候補なし)
4	リーロイ・ケスナー	正当な未リンク(名簿に候補なし)
4	川崎 真一朗	正当な未リンク(名簿に候補なし)
4	中務幸信	正当な未リンク(名簿に候補なし)
4	嵐	正当な未リンク(名簿に候補なし)
4	ジャオスアヤイ	正当な未リンク(名簿に候補なし)
4	ルカ・サバティーニ	正当な未リンク(名簿に候補なし)
4	拳士	正当な未リンク(名簿に候補なし)
4	変わり者	正当な未リンク(名簿に候補なし)
4	中島大翔	正当な未リンク(名簿に候補なし)
4	西田光汰	正当な未リンク(名簿に候補なし)
4	GUNTHER KALUNDA	正当な未リンク(名簿に候補なし)
4	津田 達也	正当な未リンク(名簿に候補なし)
4	永井 健太郎	正当な未リンク(名簿に候補なし)
4	林 瑞紀	正当な未リンク(名簿に候補なし)
4	赤平大治	正当な未リンク(名簿に候補なし)
4	ハム・ソヒ	正当な未リンク(名簿に候補なし)
4	尹戸 雅教	正当な未リンク(名簿に候補なし)
4	ジャイロ楠	正当な未リンク(名簿に候補なし)
4	羅王丸	正当な未リンク(名簿に候補なし)
4	チュージャルン・ダブランサラハム	正当な未リンク(名簿に候補なし)
3	江口真吾	正当な未リンク(名簿に候補なし)
3	ピエトロ・ドウリャ	正当な未リンク(名簿に候補なし)
