# RIZINタグでLANDMARKを含まない大会名の全125件

machida-hikaru	町田 光	2019-07-28	RIZIN.17	大雅	3R 判定（3-0）
miruko-kurokopu	ミルコ・クロコップ	2018-09-30	RIZIN.13	ロッキー・マルティネス	1R 4:56 TKO（レフェリーストップ：負傷）
miruko-kurokopu	ミルコ・クロコップ	2016-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2016 無差別級トーナメント FINAL ROUND	アミル・アリアックバリ	1R 2:02  KO（左フック）
miruko-kurokopu	ミルコ・クロコップ	2016-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2016 無差別級トーナメント FINAL ROUND	把瑠都	1R 0:49  KO（膝蹴り）
miruko-kurokopu	ミルコ・クロコップ	2016-09-25	RIZIN FIGHTING WORLD GRAND-PRIX 2016 無差別級トーナメント 開幕戦	ミョン・ヒョンマン	1R 2:20 肩固め
yaman	YA-MAN	2026-09-10	超RIZIN.5 浪速の超復活祭り	斎藤裕	試合前
yamato-tetsuya	大和 哲也	2016-04-17	TOP Presents RIZIN.1	山口裕人	1R 2:37 TKO（3ノックダウン）
yoshino-tomoki	吉野 友規	2022-07-02	湘南美容クリニック presents RIZIN.36	宮城寛克	3R 判定 （3-0）
rikiya	力也	2022-04-16	SPASHAN presents RIZIN TRIGGER 3rd	大谷翔司	1R 2分52秒 TKO（3ノックダウン）
watabe-daiki	渡部 太基	2019-07-28	RIZIN.17	Hideki	3R 判定（0-2）
reito-bravely-163	REITO BRAVELY	2022-10-23	湘南美容クリニック presents RIZIN.39	関幸一郎	1R 0分34秒 TKO（レフェリーストップ）
ryuki	Ryuki	2018-08-12	RWEDDINGS presents RIZIN.12	直也	3R 判定 3-0
uzatsuyo-yoshiya	ウザ強ヨシヤ	2025-05-04	RIZIN男祭り	朝久泰央	2R 1分16秒 TKO（レフェリーストップ：左ハイキック）
シング・心・ジャディブ	シング・心・ジャディブ	2016-04-17	RIZIN.1	テオドラス・オークストリス	3R（10分/5分/5分）終了 判定0-3
シング・心・ジャディブ	シング・心・ジャディブ	2015-12-31	RIZIN FIGHTING WORLD GRAND-PRIX 2015 さいたま3DAYS	エメリヤーエンコ・ヒョードル	1R 3:02 TKO（マウントパンチ）
rinto-kako	加古稟虎	2025-03-30	RIZIN.50	稲井良弥	1R 2分57秒 TKO（レフェリーストップ）
hirokatsu-miyagi	宮城寛克	2021-11-20	Yogibo presents RIZIN.32	ロペス薩摩	1R 2分39秒 KO（スタンドパンチ）
kengo	拳剛	2019-06-02	RIZIN.16	植山征紀	1R 2分42秒 TKO
koki-4	康輝	2020-02-22	RIZIN.21	憂也	1R 2分30秒 KO（パンチ連打）
hiroki-2	弘樹	2021-11-20	Yogibo presents RIZIN.32	寺山遼冴	3R 判定 （3-0）
hiroki-2	弘樹	2021-03-21	Yogibo presents RIZIN.27	内藤凌太	3R 判定 （3-0）
hiroto-yamaguchi	山口裕人	2019-06-02	RIZIN.16	白鳥大珠	3R 判定（0-3）
hiroto-yamaguchi	山口裕人	2016-04-17	TOP Presents RIZIN.1	大和哲也	1R 2:37 TKO（3ノックダウン）
yuma-yamahata	山畑雄摩	2020-11-21	Yogibo presents RIZIN.25	大雅	3R 判定 （3-0）
sho-ogawa	小川翔	2018-08-12	RWEDDINGS presents RIZIN.12	海人	3R 判定 3-0
matsukura-shintaro	松倉 信太郎	2020-08-10	RIZIN.23 - CALLING OVER -	森興二	1R 1分28秒 KO（右フック）
matsukura-shintaro	松倉 信太郎	2018-08-12	RWEDDINGS presents RIZIN.12	奥山貴大	2R 2分32秒 KO
juna-koda	上田樹那	2026-05-10	RIZIN.53	北野ヒナタ	3R 判定（0-3）
arata-soichiro	新田 宗一朗	2022-07-02	湘南美容クリニック presents RIZIN.36	大雅	3R 判定 （3-0）
shingekinoyuki	進撃の祐基	2023-04-01	RIZIN.41	木村“ケルベロス”颯太	3R 1分32秒 TKO（レフェリーストップ）
jin-mandokoro	政所 仁	2020-11-21	Yogibo presents RIZIN.25	佐藤執斗	3R 判定 （3-0）
