name,yomi_kana,yomi_romaji,yomi_source,gym,orgs,source_urls
宮下 トモヤ,ミヤシタ トモヤ,Miyashita Tomoya,published_kana,POWER OF DREAM,K-1,https://www.k-1.co.jp/fighter/603
宮田 隼児,ミヤタ,Miyata,published_kana,,K-1,https://www.k-1.co.jp/fighter/571
宮田 裕司,ミヤタ ユウジ,Miyata Yuji,published_kana,,K-1,https://www.k-1.co.jp/fighter/630
宮地 謙太朗,ミヤチ ケンタロウ,Miyachi Kentaro,published_kana,,K-1,https://www.k-1.co.jp/fighter/254
宮原 司,ミヤハラ ツカサ,Miyahara Tsukasa,published_kana,K-1ジム心斎橋チームレパード,K-1,https://www.k-1.co.jp/fighter/1340
雅駿介,ミヤビ シュンスケ,,published_kana,,,https://ja.wikipedia.org/wiki/雅駿介
宮元啓介,ミヤモト ケイスケ,,published_kana,,,https://ja.wikipedia.org/wiki/宮元啓介|https://www.k-1.co.jp/fighter/157
宮本 拳聖,ミヤモト ケンセイ,Miyamoto Kensei,published_kana,K-1ジム総本部チームペガサス,K-1,https://www.k-1.co.jp/fighter/1336
宮本正明,ミヤモト マサアキ,,published_kana,,,https://ja.wikipedia.org/wiki/宮本正明
宮本武勇志,ミヤモト ムサシ,,published_kana,,,https://ja.wikipedia.org/wiki/宮本武勇志
宮本芽依,ミヤモト メイ,Mei Miyamoto,published_kana,KRAZY BEE/POUND FOR POUND,RISE,https://rise-rc.com/fighter/miyamoto_mei/|https://ja.wikipedia.org/wiki/宮本芽依
美・YUKI,ミユキ,,published_kana,,,https://ja.wikipedia.org/wiki/美・YUKI
ミラン・ペイルス,ミラン・ペイルス,,published_kana,Diamond gym Zilina,K-1,https://www.k-1.co.jp/fighter/1047
ミルコ・クロコップ,ミルコ・クロコップ,,published_kana,,,https://ja.wikipedia.org/wiki/ミルコ・クロコップ
ミル・ブン・ティエン,ミル・ブン・ティエン,,published_kana,カンボジア,KNOCK OUT,https://knockoutkb.com/fighters/meas_bunthen_467
美伶,ミレイ,Mirei,published_kana,WARRIOR OSAKA,K-1 WORLD GP|Krush|Krush-EX|KNOCK OUT,https://www.k-1.co.jp/fighter/1022|https://knockoutkb.com/fighters/mirei_296
